,A,B,C,D
2020-01-01,3.460613455600242,3.6337691192570887,1.0971963136973464,0.42745276212896444
2020-01-02,3.943143382983366,2.526559936675804,0.6223435006328053,0.5590767755646611
2020-01-03,4.222639929353714,3.0071064454592427,0.74049503112171,1.2867772730353704
2020-01-04,4.045661582299769,3.399820276657541,-0.15343421798479073,1.3028148460275775
2020-01-05,3.5056112499253267,3.398728309608689,0.5520014074738673,1.4675779151020103
2020-01-06,4.052013137612993,3.2992415746138386,-0.022327005060413407,1.0939516421256812
2020-01-07,4.007799826716873,2.8773717331128763,0.916849671991802,1.0133061681813857
2020-01-08,3.181438015734341,3.3708159730651577,1.577158843947318,1.6397777934315094
2020-01-09,3.7153816448866603,2.725211474065584,1.2041934816759983,1.0019324182345533
2020-01-10,4.0783180849771945,3.168544676794102,1.0907378365869005,1.0045596065077294
2020-01-11,4.245139957416057,2.859603070706639,1.6449167168007244,1.576547725128139
2020-01-12,3.7668709441274615,2.4563890112574627,1.0261003895097967,0.6100162551312848
2020-01-13,3.9783030349428117,3.080304081998897,1.0386406996039383,1.4797402646705924
2020-01-14,4.239815232563801,2.0994678573717334,1.701323172827351,1.0380978218526038
2020-01-15,2.9475681325439362,2.856798145864166,0.4430853641122723,0.2386700823534339
2020-01-16,4.691319456220199,3.748495700732068,0.691537775457811,0.7178510230468307
2020-01-17,4.715917566378419,3.1308790029375504,1.751881233043708,0.9347970452401575
2020-01-18,3.990989808209654,2.8872669234302624,0.6718509687883474,0.7050289766108084
2020-01-19,4.742417416898201,2.5360049705153354,2.0166856201514833,0.4726760324094509
2020-01-20,3.5274829148154057,2.7369330723499177,0.12330472736073872,1.4517112536169479
2020-01-21,3.281133046436949,2.70888750770446,1.3246271124276672,0.9348978263750184
2020-01-22,5.545764037208006,3.355473949841497,-0.0016740551557354877,1.1369654199038712
2020-01-23,4.232450717130253,3.168283413849689,0.69356431785966,1.4668609751715582
2020-01-24,4.821058131598656,3.2205926512650302,0.5205256076895299,1.4392116523532803
2020-01-25,3.959797412816214,3.3338856624351334,0.85358085062475,1.1587111955250364
2020-01-26,3.89504689044641,3.0769143751201606,1.9326788317570254,0.8591092315866466
2020-01-27,3.968109460557828,2.12522224049773,0.43695167106922894,0.9323297454567445
2020-01-28,3.7445848782270335,3.6422812128544564,0.306674403277188,-0.17051779865626893
2020-01-29,4.119817690941462,3.9039737033303554,1.1638705870509423,1.5263463209005752
2020-01-30,3.1703979731947736,2.9406274754731925,1.3340409013041086,0.6462646276428639
2020-01-31,4.338515037313127,3.7160466615195915,0.6470931074000084,1.7753186256635098
2020-02-01,5.318828100093996,5.319754961830864,2.334125841061347,0.8282966827028506
2020-02-02,4.990023646077917,5.932172583626646,2.294694769644334,0.6669656884541313
2020-02-03,5.4981951720342295,5.618561332281365,2.6545874851631,1.0837672473777624
2020-02-04,6.22097034586197,6.012129874870811,2.6660139220824854,0.10065546068379283
